node1,node2,123risksum
[-74.01219491  40.63985478],[-74.00998983  40.63852434],2.0
[-73.86927235  40.70722675],[-73.86961142  40.70783448],2.0
[-73.98447732  40.72023424],[-73.98386423  40.72139638],3.0
[-73.91943071  40.68005583],[-73.9195747   40.68078727],1.0
[-73.88288851  40.63343649],[-73.88532132  40.63148267],2.0
[-73.93462771  40.81386987],[-73.93591498  40.81213298],2.0
[-73.9620807   40.71326919],[-73.96255126  40.71252628],3.0
[-73.79503666  40.77061215],[-73.7952918   40.76874768],3.0
[-73.90144085  40.81289668],[-73.90418037  40.81212482],2.0
[-73.92400438  40.6285662 ],[-73.92423917  40.63074874],3.0
[-73.90703572  40.886609  ],[-73.90738179  40.88781731],3.0
[-73.93804407  40.82289688],[-73.93756596  40.82351999],2.0
[-73.9267214  40.6540446],[-73.92688822  40.65557568],3.0
[-73.92396809  40.82737929],[-73.92241311  40.83005254],3.0
[-73.86712101  40.83673963],[-73.86700551  40.83611833],2.0
[-73.9487715   40.71043226],[-73.9471046   40.71058776],3.0
[-73.95252223  40.79234762],[-73.95091737  40.79167439],2.0
[-73.90823165  40.6674249 ],[-73.91009069  40.66715431],2.0
[-73.85913752  40.81317142],[-73.85952667  40.81473546],3.0
[-73.85424591  40.84066695],[-73.85518017  40.84221807],3.0
[-73.98303473  40.72116105],[-73.98386423  40.72139638],4.0
[-73.88584205  40.69996547],[-73.88606972  40.70150764],3.0
[-73.88740487  40.63537779],[-73.88813596  40.63489857],3.0
[-73.92119368  40.83815532],[-73.9197838   40.84087618],4.0
[-73.92065677  40.69092753],[-73.91945993  40.69214942],3.0
[-73.91110724  40.69468697],[-73.91035645  40.69425962],2.0
[-73.99150544  40.7210276 ],[-73.9909143  40.7221812],4.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],2.0
[-73.92166171  40.83133642],[-73.92241311  40.83005254],1.0
[-73.93731374  40.80765566],[-73.93777438  40.80703478],3.0
[-73.99515394  40.74475984],[-73.99232182  40.74356809],2.0
[-73.99441616  40.66378976],[-73.99225494  40.66246874],2.0
[-73.91724585  40.84908831],[-73.91834571  40.8482436 ],2.0
[-73.88429416  40.79284754],[-73.88448906  40.79114247],3.0
[-73.95410878  40.74272855],[-73.95643974  40.74318007],1.0
[-74.17413145  40.53785809],[-74.17468543  40.53879442],2.0
[-73.82084929  40.75224154],[-73.8232132   40.75070793],2.0
[-74.09379745  40.58181581],[-74.09200285  40.58089001],5.0
[-73.98747525  40.76040479],[-73.98701515  40.76103737],0.0
[-73.89005568  40.6753574 ],[-73.88915132  40.67549581],0.0
[-73.93741853  40.80437468],[-73.93889373  40.80499538],0.0
[-73.90802387  40.83176834],[-73.90821655  40.83183087],0.0
[-73.94327251  40.7934881 ],[-73.94103497  40.79254667],0.0
[-73.9059167   40.83305138],[-73.90683775  40.83138421],0.0
[-73.99711719  40.71279974],[-73.99445971  40.71302143],0.0
[-73.92751431  40.6523181 ],[-73.92654699  40.65239137],0.0
[-73.86355916  40.89537702],[-73.86300343  40.89625883],0.0
[-73.98309138  40.68545114],[-73.9852592   40.68629411],0.0
[-73.98955663  40.68395567],[-73.99176178  40.68481315],0.0
[-73.86994682  40.75179405],[-73.87069541  40.75356373],0.0
[-73.99203612  40.6036511 ],[-73.99145421  40.60420924],0.0
[-73.97659269  40.68718454],[-73.97709802  40.68977293],0.0
[-73.94020613  40.80055706],[-73.9406655   40.79992997],3.0
[-73.91710673  40.84570003],[-73.91716089  40.84598246],2.0
[-73.98677709  40.62597941],[-73.98959064  40.62711712],1.0
[-73.77404594  40.7096984 ],[-73.77537421  40.71167751],3.0
[-73.87850625  40.84399892],[-73.87800757  40.8444843 ],2.0
[-73.93346631  40.79866232],[-73.93352324  40.79858429],2.0
[-73.89587678  40.85710708],[-73.8952629   40.85674336],4.0
[-73.81443837  40.72194822],[-73.81409525  40.72128361],3.0
[-73.84776905  40.67466723],[-73.848436   40.6745767],3.0
[-73.92785887  40.83562061],[-73.92868322  40.83589497],2.0
[-73.78233695  40.70804   ],[-73.78186573  40.70813294],2.0
